Batch,ID,Name,Primary Domain,Blurring Line Angle,Location,Outreach Priority,Contact Method
SPORTS & CORPORATE LEADERS,21,Rohit Bhardwaj,Mahabharat Actor + Life Coach + Sports Mindset Training,Actor (Yudhishthira) → life coaching + sports psychology,Delhi,Tier 2,Social media; Entertainment networks
SPORTS & CORPORATE LEADERS,22,Vivek Atray,Ex-IAS Officer + Author + Sports Administration,"Ex-IAS; ""Finding Success Within"" author; keynote speaker",Delhi,Tier 2,IAS networks; Speaking bureaus
SPORTS & CORPORATE LEADERS,23,Captain Akhilesh Saxena,Pilot + Extraordinary Feat + Resilience Coaching,Landed plane with zero visibility; crisis management + performance coaching,Aviation networks,Tier 2,Aviation + corporate training
SPORTS & CORPORATE LEADERS,24,Manish Narwal,Para-Shooting + Youth Coaching,Paris 2024 medalist (Faridabad) + grassroots coaching,"Faridabad, Haryana",Tier 1,Faridabad networks; State sports
SPORTS & CORPORATE LEADERS,25,Akshita Khanna,HR + Emotional Intelligence + Sports Leadership Dynamics,15+ years HR/TA; TEDx speaker; collaborates with Parikshit Khanna,Delhi NCR,Tier 2,IIT Delhi networks; Parikshit Khanna connection
SPORTS & CORPORATE LEADERS,26,Anand Munshi,Futurist + Performance Optimization + Sports Psychology,Thought leader; future trends + athlete adaptability,National,Tier 2,LinkedIn; Multi-city networks
SPORTS & CORPORATE LEADERS,27,Tuheena Raj,Brand Marketer + Writer + Podcast Host + Sports Sponsorship,"2x TEDx speaker; ""Words of Worth"" podcast; 800K+ reach",Delhi,Tier 1,LinkedIn; Podcast platform
SPORTS & CORPORATE LEADERS,28,Anusree Raha,Civil Servant + TEDx Speaker + Policy + Sports Administration,"Civil servant + TEDx speaker; LSR, DSE alumna; policy advocacy",Delhi,Tier 2,TEDx networks; Civil service
SPORTS & CORPORATE LEADERS,29,Bhavesh Manglani,Delhivery Founder + Logistics for Sports Events,₹19B+ logistics company; sports event logistics expertise,Gurgaon,Tier 2,LinkedIn; Corporate networks
SPORTS & CORPORATE LEADERS,30,Kavin Bharti Mittal,Tech Founder + Sports Innovation Investment,Hike Messenger founder ($1.4B valuation); sports tech investments,Delhi,Tier 2,LinkedIn; Tech ecosystem
SPORTS & CORPORATE LEADERS,31,Ashneer Grover,Fintech Founder + Sports Business Model Innovation,BharatPe co-founder ($2.85B); Shark Tank India personality,Delhi,Tier 2,LinkedIn; Shark Tank networks
SPORTS & CORPORATE LEADERS,32,Rohit Bhardwaj (Sports Management),Sports Coach + Theater Arts Fusion,Sports coach + classical theater background,Delhi,Tier 3,Internal coaching networks
SPORTS & CORPORATE LEADERS,33,Manan Kathuria,UNICEF Youth Filmmaker + Sports Storytelling,UNICEF Golden Youth filmmaker; sports documentaries,Delhi,Tier 2,UNICEF networks; Film festivals
SPORTS & CORPORATE LEADERS,34,Devesh Mirchandani,Kathak Dancer + Metaverse Pioneer,Kathak dancer + metaverse exploration for arts/sports,Delhi,Tier 3,Arts + tech networks
SPORTS & CORPORATE LEADERS,35,Purbayan Chatterjee,Sitar + Neuroscience + Mindfulness (Duplicate in Batch 4),Sitar + raag + neuroscience; TEDxIIFTDelhi 2.1M views,National,Tier 1,TEDx networks; Media presence
SPORTS & CORPORATE LEADERS,36,Merril (SHEROES Founder),Women's Entrepreneurship + Sports Inclusion,SHEROES founder (2M+ community); women's sports advocacy,Delhi,Tier 1,SHEROES platform; LinkedIn
SPORTS & CORPORATE LEADERS,37,Ghazal Alagh,Mamaearth Co-Founder + Women in Sports Wellness,$1B valuation; woman founder; female athlete wellness focus,Delhi,Tier 1,LinkedIn; Beauty-tech networks
SPORTS & CORPORATE LEADERS,38,Vijay Shekhar Sharma,Paytm Founder + Sports Sponsorship Strategy,$16B valuation; cricket/sports sponsorship strategy,Delhi,Tier 2,LinkedIn; Business media
SPORTS & CORPORATE LEADERS,39,Neerav Tomar,IOS Sports & Entertainment Founder + Athlete Management,150+ elite athletes represented (Olympians); 20-year history,Delhi,Tier 1,LinkedIn; Sports management
SPORTS & CORPORATE LEADERS,40,Sandeep Singh,Freecultr Co-Founder + Athlete Apparel Innovation,Lifestyle apparel brand; sports-inspired streetwear,Delhi,Tier 2,LinkedIn; Fashion tech
SPORTS & CORPORATE LEADERS,41,Varun Singh,ScaleArc Tech Founder + Performance Optimization Philosophy,Database infrastructure founder; scaling human potential,National,Tier 2,Tech networks; LinkedIn
SPORTS & CORPORATE LEADERS,42,Vishal Gondal,Indiagames Founder + Gaming + Sports Simulation,Gaming pioneer; sports simulation games; early esports,National,Tier 2,Gaming networks; LinkedIn
SPORTS & CORPORATE LEADERS,43,Prince Kamboj,Rural Innovator + Sustainable Sports Equipment,Haryana-based; solar-powered sports equipment; Villgro recognition,Haryana,Tier 2,Haryana rural networks
SPORTS & CORPORATE LEADERS,44,Ritesh Malik,Innov8 Founder + Sports Startup Investments,Co-working pioneer; Josh Talks seed investor; athlete-tech ventures,Haryana/Delhi,Tier 1,Josh Talks networks; LinkedIn
SPORTS & CORPORATE LEADERS,45,Sumit Ranka,Thinkpot Founder + Sports Innovation Strategy,Innovation consulting; sports league tech integration,Haryana/Delhi,Tier 2,Startup networks; LinkedIn
SPORTS & CORPORATE LEADERS,46,Shobhit Banga,Josh Talks Co-Founder + Sports Storytelling Platform,3B+ views; athlete story democratization (Bharat-focused),"Gurgaon, Haryana",Tier 1,Josh Talks platform; Direct access
SPORTS & CORPORATE LEADERS,47,Sunny Nagpal,Josh Talks Entrepreneur + Sports Investor,Josh Talks team; media + investment in sports business,"Gurgaon, Haryana",Tier 1,Josh Talks networks
SPORTS & CORPORATE LEADERS,48,Dr. Vivek Bindra (Sports Coaching Angle),Business Psychology + Athlete Coaching Fusion,(Duplicate) Bada Business; sports psychology in business training,Delhi,Tier 2,YouTube; Corporate networks
SPORTS & CORPORATE LEADERS,49,Bipin Preet Singh,MobiKwik Founder + Fintech + Sports Monetization,135M users; sports event + athlete payment infrastructure,Gurgaon,Tier 2,LinkedIn; Fintech networks
SPORTS & CORPORATE LEADERS,50,Upasana Taku,MobiKwik Co-Founder + Women in Sports Tech Finance,Woman founder; 135M users; female athlete financial inclusion,Gurgaon,Tier 1,LinkedIn; Women entrepreneur networks
ARTS & SOCIAL IMPACT,51,Chetna Gala Sinha,Rural Banking + Women Empowerment + Activism,Mann Deshi Bank (500K+ women); TED speaker; Padma award,National,Tier 1,LinkedIn; Speaking bureaus; Padma network
ARTS & SOCIAL IMPACT,52,Tanvi Bhikchandani,Fashion + Social Impact + Sustainability,Tamarind Chutney; artisan empowerment; Info Edge daughter,Delhi,Tier 1,SVP Delhi networks; LinkedIn
ARTS & SOCIAL IMPACT,53,Saptak Chatterjee,Hindustani Classical + Indie/Pop/Rock Fusion,Gurugram-based; classical + fusion experimenter; Indian Ocean collaborator,Gurugram,Tier 1,saptakchatterjeemusic@gmail.com; Music networks
ARTS & SOCIAL IMPACT,54,Bawari Basanti (Mahima Dayal Mathur),Hindustani Classical + Hip Hop + Folk Fusion,Delhi-based; desi hip-hop + classical; GIAM Awards nomination,Delhi,Tier 1,LinkedIn; Music networks; Josh Talks
ARTS & SOCIAL IMPACT,55,"Advaita (Band: Ujjwal Nagar, Chayan Adhikari, Anindo Bose, Abhishek Mathur)",Indian Classical + Rock + Electronic Fusion,20-year band; 400+ concerts; MTV Unplugged; classical-rock pioneers,Delhi,Tier 1,@advaitamusic Instagram; Band booking networks
,,,,,,,
ARTS & SOCIAL IMPACT,57,Shadow and Light (Anindo Bose & Pavithra Chari),Contemporary Classical + Jazz + Electronica,Grammy-nominated; 3 albums; WOMEX featured,Delhi,Tier 1,SoundCloud/Spotify; Music networks
ARTS & SOCIAL IMPACT,58,Purbayan Chatterjee,Sitar + Raag + Neuroscience + Mindfulness,42 heads of state performances; President of India Award; TEDxIIFTDelhi 2.1M views,National,Tier 1,TEDx networks; Media presence
ARTS & SOCIAL IMPACT,59,Anirudh Varma,Piano + Contemporary Indian Classical Ensemble,Delhi-based; Anirudh Varma Collective; raag + contemporary blend,Delhi,Tier 2,LinkedIn; Music academia networks
ARTS & SOCIAL IMPACT,60,Raghu Dixit,Folk Music + Contemporary Blend + Film Composition,"Bewakoofiyaan, Gully Boy composer; Songlines Music Awards",National,Tier 2,Film/music industry networks
ARTS & SOCIAL IMPACT,61,Sanjiv Bhikchandani,Info Edge Founder + Social Impact + Purpose-Driven Entrepreneurship,₹5B market cap; Padma Shri; Ashoka University co-founder,Delhi,Tier 1,LinkedIn; SVP Delhi networks
ARTS & SOCIAL IMPACT,62,Nitin Jain,Social Entrepreneurship + Youth Empowerment (Spread Smile Foundation),"Ashoka grad; Spread Smile Foundation (200+ children, Sonipat); Haryana-based","Sonipat, Haryana",Tier 1,Ashoka networks; Local Haryana
ARTS & SOCIAL IMPACT,63,Suchita Salwan,LBB Founder + Women Entrepreneurship Platform,4M+ monthly users; 100K+ businesses (47% women); e-discovery platform,Delhi NCR,Tier 1,LinkedIn; Platform networks
ARTS & SOCIAL IMPACT,64,Falguni Nayar,Nykaa Founder + Beauty + Digital Empowerment,$13B+ valuation; IPO 2021; woman founder; beauty democratization,National,Tier 2,LinkedIn; Corporate networks; Media
ARTS & SOCIAL IMPACT,65,Sherly Hephzibah,2x TEDx Speaker + TED-Ed Educator + Education Innovation,2x confirmed TEDx; TED-Ed platform; education technology,National,Tier 1,LinkedIn; TEDx networks
ARTS & SOCIAL IMPACT,66,Ujjwal Nagar,Hindustani Vocalist + Fusion Music Experimentation,Advaita vocalist; international festivals,Delhi,Tier 1,Advaita band networks
ARTS & SOCIAL IMPACT,67,Chayan Adhikari,Western Vocals + Guitar + Fusion Innovation,Advaita member; rock-classical fusion,Delhi,Tier 1,Band networks
ARTS & SOCIAL IMPACT,68,Kunwar Tanishque Jarial,Hindustani Classical Vocals + Jazz Fusion,Pakshee vocalist; jazz-raag fusion,Delhi,Tier 1,+099583 05103; Band networks
ARTS & SOCIAL IMPACT,69,Sree Rag,Carnatic Vocals + World Music Fusion,Pakshee vocalist; South Indian tradition + modern genres,Delhi,Tier 1,Band networks
ARTS & SOCIAL IMPACT,70,Pavithra Chari,Classical Vocalist + Contemporary Songwriting + Lyricist,Shadow and Light vocalist/lyricist; 3 albums; Grammy nomination,Delhi,Tier 1,Music networks
ARTS & SOCIAL IMPACT,71,Anindo Bose,Keyboard/Producer + Contemporary Orchestration,Shadow and Light producer; electronica + raag fusion; Grammy-nominated,Delhi,Tier 1,Music production networks
ARTS & SOCIAL IMPACT,72,Gareth Farr,International Fusion Collaborator (if available),Alternative: Global collaborator working in India fusion space,National,Tier 3,International music networks
,,,,,,,
,,,,,,,
,,,,,,,
ARTS & SOCIAL IMPACT,76,Deepshikha Sharma,Mandala Artist + Social Art Practices,Mandala artist; community social practice; Delhi-based,Delhi,Tier 2,Instagram/social media; Art networks
,,,,,,,
ARTS & SOCIAL IMPACT,78,Desh & Kirti,Project Ibtida Co-Founders,E-commerce for differently-abled; disability-inclusive empowerment,Delhi,Tier 2,F6S platform; Social enterprise networks
ARTS & SOCIAL IMPACT,79,Dhwani & Akshya,Silpakarman Co-Founders,Bamboo products + rural artisan partnerships; sustainable design,Delhi,Tier 2,Social enterprise networks
ARTS & SOCIAL IMPACT,80,Priyanjali,Aaroogya Founder (Breast Cancer Prevention + AI),India's first AI + anthropology social startup; rural healthcare,Delhi,Tier 2,Social enterprise networks
ARTS & SOCIAL IMPACT,81,Tanvi Bhikchandani + Sanjiv Bhikchandani Panel,Purpose-Driven Leadership Panel,SVP panel; investment + social purpose fusion,Delhi,Tier 1,SVP Delhi networks
ARTS & SOCIAL IMPACT,82,Govind Iyer,SVP India All-Chair + Impact Investing + Community Leadership,"SVP collective champion; ""serving with love"" philosophy",Delhi,Tier 1,SVP networks; Leadership circles
ARTS & SOCIAL IMPACT,83,Kaku Nakhate,Bank of America + CSR Strategy + Social Innovation,SVP Prerna 2025 panelist; corporate CSR + strategic innovation,National,Tier 2,Corporate networks
ARTS & SOCIAL IMPACT,84,Munish Sharda,Axis Bank + Strategic CSR + Social Impact Strategy,SVP panel; banking + grassroots impact,National,Tier 2,Corporate networks
ARTS & SOCIAL IMPACT,85,Renu Vasanth Kumar,Barclays + Women's Empowerment + Financial Inclusion,SVP panelist; global fintech + local women's empowerment,National,Tier 2,Corporate networks
ARTS & SOCIAL IMPACT,86,Harjeet Kohli,SVP Delhi Chapter Chair + Engaged Philanthropy,SVP Delhi Chair; wealth + social commitment,Delhi,Tier 1,SVP networks
ARTS & SOCIAL IMPACT,87,Nene Ibezim,Ashoka University Fellow + Global Social Impact,YIF alum; Spread Smile Foundation global connections,National,Tier 2,Ashoka networks
ARTS & SOCIAL IMPACT,88,Suhas Peela,Ashoka University Fellow + Social Enterprise Development,YIF alum; Spread Smile Foundation scaling,National,Tier 2,Ashoka networks
ARTS & SOCIAL IMPACT,89,Ekanto (Ashoka CFE Mentor),Ashoka InfoEdge Centre for Entrepreneurship + Mentoring,CFE mentor; rural women's livelihood innovation,Delhi,Tier 2,Ashoka networks
ARTS & SOCIAL IMPACT,90,Lovsy Founders (Ashoka Student-Run Startup),Social Enterprise + Rural Women Empowerment,Ashoka startup; rural women consistent income,Delhi,Tier 2,Ashoka networks; Sonipat proximity
ARTS & SOCIAL IMPACT,91,Arjun Mehta,Drishtee Co-Founder + Rural Digital Access + Community Building,26-year operating history; rural community development + tech,National,Tier 2,Drishtee networks
,,,,,,,
,,,,,,,
,,,,,,,
ARTS & SOCIAL IMPACT,95,Tamarind Chutney Design/Impact Team,Sustainable Fashion + Artisan Empowerment,Textile waste reduction + artisan storytelling,Delhi,Tier 1,@thetamarindchutney; Social impact fashion
ARTS & SOCIAL IMPACT,96,Dr. Priyanka Sharma,Technology + Law + Data Privacy + Women Leadership in Tech,Tech-legal expert; HERricane podcast; women in tech,Delhi,Tier 2,LinkedIn; Tech-legal networks
ARTS & SOCIAL IMPACT,97,Classicool Collective Members (if distinct from Purbayan),Contemporary Classical + Music Innovation + Collective Performance,Purbayan-led collective; collaborative contemporary Indian classical,National,Tier 2,Music networks
ARTS & SOCIAL IMPACT,98,Utkarsh (Arts + Tech Founder),Community Arts + Technology Platform,Arts + tech platform for community engagement,To be confirmed,Tier 3,Arts + tech networks
ARTS & SOCIAL IMPACT,99,Aman Gupta,Boult Audio Co-Founder + Hammer Lifestyle Investment,Shark Tank India investor; audio tech + sports tech,Delhi,Tier 2,Shark Tank networks; LinkedIn
,,,,,,,
RURAL INNOVATORS & AGRITECH,101,Shashank Kumar,DeHaat Co-Founder + IIT Delhi,"₹5,690 crore valuation; 1.5M+ farmers; IIT Delhi + Ashoka Fellow","Gurugram, Haryana",Tier 1,LinkedIn; IIT Delhi network
RURAL INNOVATORS & AGRITECH,102,Amrendra Singh,DeHaat Co-Founder + IIT/IIM Alum,IIT Kharagpur + IIM Ahmedabad; rural finance access,"Gurugram, Haryana",Tier 1,LinkedIn; IIT/IIM networks
RURAL INNOVATORS & AGRITECH,103,Sukhjeet Singh,Farmer-Entrepreneur + Organic Agripreneur + Mentor,"Sirsa, Haryana; ₹60 lakh organic venture; 600+ farmer mentees; GFBN member","Sirsa, Haryana",Tier 1,Krishi Jagran networks; Social media
RURAL INNOVATORS & AGRITECH,104,Ajay Kumar,Dairy Farming + Value Addition + Young Agripreneur,"Sirsa, Haryana; Millennium Farmer of India Award 2025; AKC Foods","Sirsa, Haryana",Tier 1,Krishi Jagran award circuit; Tribune India
RURAL INNOVATORS & AGRITECH,105,Nukul Upadhye,Bijak Co-Founder + Agricultural Marketplace + Transparency Tech,₹35M+ funding; 28 states; 110+ commodities; ₹300 crore GMV,Delhi NCR,Tier 1,LinkedIn; Forbes India featured
RURAL INNOVATORS & AGRITECH,106,Mahesh Jakhotia,Bijak Co-Founder + Agricultural Supply Chain,Trust architecture; farmer welfare focus,Delhi NCR,Tier 1,LinkedIn; Agri-tech networks
RURAL INNOVATORS & AGRITECH,107,Jitender Bedwal,Bijak Co-Founder + Agricultural Trade Democratization,No-middlemen ethos; digital price discovery,Delhi NCR,Tier 1,LinkedIn; Omidyar network
RURAL INNOVATORS & AGRITECH,108,Nikhil Tripathi,Bijak Co-Founder + Agricultural Data Transparency,Data-driven accountability in agri supply chain,Delhi NCR,Tier 1,LinkedIn; Agri-tech networks
RURAL INNOVATORS & AGRITECH,109,Daya Rai,Bijak Co-Founder + Socio-Economic Equity in Agriculture,Erasing socio-economic divides via technology,Delhi NCR,Tier 1,LinkedIn; Omidyar networks
RURAL INNOVATORS & AGRITECH,110,Parikshit Sai,Pranam Kisan Co-Founder + Agri-Fin Tech + Farmer Empowerment,"20-year history; 10,000+ farmers; 15 states; training + advisory",Jaipur/Pan-India,Tier 1,LinkedIn; Agritech startup networks
RURAL INNOVATORS & AGRITECH,111,Suresh K Gehlot,Pranam Kisan Co-Founder + Sustainable Agribusiness,Closed-loop controlled farming models,Pan-India,Tier 1,Agritech networks
RURAL INNOVATORS & AGRITECH,112,Kaustav Saha,Seven3 Digital Founder + IoT Smart Farming + Precision Agriculture,"Gurugram-based; IoT + sensors + AI; 30% yield increase, 40% resource reduction","Gurugram, Haryana",Tier 1,LinkedIn; IoT + agriculture networks
RURAL INNOVATORS & AGRITECH,113,Maninder Singh Nayyar,CEF Group Founder + Waste-to-Resource + Urban Farming Innovation,"Delhi-based; waste → bioCNG + fertilizer; Urban Farmer (400 customers, 14-hour delivery)",Delhi,Tier 1,LinkedIn; Your Story 2025 interview
RURAL INNOVATORS & AGRITECH,114,Ullas Samrat,Triton Foodworks Co-Founder + Hydroponic Agriculture,Founded 2014; 700+ tons annually; residue-free produce,Delhi,Tier 2,LinkedIn; Sustainable agriculture networks
RURAL INNOVATORS & AGRITECH,115,Dhruv Khanna,Triton Foodworks Co-Founder + Fresh Produce Supply Chain Innovation,Hydroponic systems for urban consumers,Delhi,Tier 2,LinkedIn networks
RURAL INNOVATORS & AGRITECH,116,Founder (I Say Organic),Organic Food + Farmer Support + Farm-to-Consumer Access,Founded 2011; 300+ products; 13 states; farmer livelihood focus,Delhi,Tier 2,Organic sector networks
RURAL INNOVATORS & AGRITECH,117,Indranil Datta,Seed Savers Club Founder + Non-Traditional Crop Farming,"Mushrooms, spices, medicinal crops; high-margin diversification",National,Tier 2,Agritech startup networks
RURAL INNOVATORS & AGRITECH,118,Ashish Mishra,Krishi Network Co-Founder + Farmer Education + Agricultural Tech Access,Founded 2018; Gurugram-based; tech-enabled farmer empowerment,"Gurugram, Haryana",Tier 1,LinkedIn; Gurugram startup networks
RURAL INNOVATORS & AGRITECH,119,Siddhant Bhomia,Krishi Network Co-Founder + Technology + Agricultural Knowledge,Tech platform for farmer knowledge access,"Gurugram, Haryana",Tier 1,Startup networks
RURAL INNOVATORS & AGRITECH,120,Neha Bharti,Swadha Agri Founder + Women in Agriculture + AI-Driven Solutions,DPIIT-recognized; World Food India 2025 featured; female farmer support + AI,National,Tier 1,LinkedIn; World Food India networks
RURAL INNOVATORS & AGRITECH,121,Gen Flow AI Founder/Team,AI + Precision Agriculture + Modern Farming Integration,Delhi-based; AI-driven agricultural innovations,Delhi,Tier 2,AI + agriculture networks
RURAL INNOVATORS & AGRITECH,122,Nutrikosh India Founder/Team,Farmer Producer Organizations + Krishi Saarthi Kendra,Founded 2021; 20+ FPO centers; collective farming model,National,Tier 2,FPO networks
RURAL INNOVATORS & AGRITECH,123,Mulyam AI Founder/Team,AI + Market Access + Farmer Producer Organizations,Pune-based; FPO market expansion via AI,Pan-India,Tier 2,Your Story 2025; FPO networks
RURAL INNOVATORS & AGRITECH,124,Krishna Kumar,CropIn Founder + Farm Data Intelligence + AgTech Pioneer,Founded 2010; Bengaluru-based; VC-backed; 16-year history,Pan-India,Tier 2,Data + agriculture networks
RURAL INNOVATORS & AGRITECH,125,Susheel Kumar,Syngenta India MD + Corporate Agriculture Innovation + Farmer Tech Adoption,"Karnal, Haryana; 100+ drone pilots trained (18 women, 16 districts)","Karnal, Haryana",Tier 1,Syngenta networks; Haryana CSR
RURAL INNOVATORS & AGRITECH,126,Dr. KC Ravi,Syngenta India Chief Sustainability Officer + Climate-Smart Agriculture,Technology-driven farmer prosperity + climate adaptation,"Karnal, Haryana",Tier 2,Syngenta networks
RURAL INNOVATORS & AGRITECH,127,Dr. R.S. Paroda,Haryana Kisan Ayog Leader + Agricultural Innovation Fund + Policy,₹2 crore Innovation Fund architect; farmer innovation recognition + scaling,Haryana,Tier 1,Haryana government; Direct XLRI advantage
RURAL INNOVATORS & AGRITECH,128,Agricultural Innovation Fund Farmers (ICAR Awardees),Farmer-Led Innovation Champions + Traditional Knowledge,58 Haryana/Punjab progressive farmers; crop diversification documented,Haryana/Punjab,Tier 2,ICAR networks; Government ag ministry
RURAL INNOVATORS & AGRITECH,129,Bijak B2B Traders (Platform Community),Agricultural Trading + Modernization + Mandi Participants,₹300 crore/month transactions; traditional mandi → digital modernization,Pan-India,Tier 3,Bijak platform networks
RURAL INNOVATORS & AGRITECH,130,FarMart Agri Services Leadership (Haryana-Based),Agricultural Services + Rural Haryana Enterprise,Haryana-based agritech; commodity services,Haryana,Tier 2,Haryana agritech networks
RURAL INNOVATORS & AGRITECH,131,Country Delight Founder/Team,Dairy + Direct-to-Consumer + Quality + Rural Livelihoods,Haryana-based dairy brand; direct-to-consumer + farmer partnerships,Haryana,Tier 2,Dairy/food-tech networks
RURAL INNOVATORS & AGRITECH,132,BharatRohan Airborne Innovations Team,Drone Technology + Precision Agriculture,Founded 2016; Haryana-based; UAV spectral imaging + AI analytics,Haryana,Tier 2,Precision agriculture networks
RURAL INNOVATORS & AGRITECH,133,UPAJ AI Solutions Team,Soil Intelligence + Smart Agriculture + Climate Resilience,Haryana-based; soil analysis + ag-advisory + digital insurance,Haryana,Tier 2,Climate adaptation networks
RURAL INNOVATORS & AGRITECH,134,Organic Ledger Founder/Team,Organic Certification + Blockchain + Farmer Trust,Gurugram/NCR-based; blockchain organic certification; farmer market access,"Gurugram, Haryana",Tier 2,Blockchain + organic networks
,,,,,,,
RURAL INNOVATORS & AGRITECH,136,Grocerist Founder/Team,Farm-to-Retail + Digital Supply Chain + Farmer Economics,Gurugram-based; farm-to-consumer retail; farmer economics focus,"Gurugram, Haryana",Tier 2,Supply-chain + food-tech networks
RURAL INNOVATORS & AGRITECH,137,XaasTag Regtech Team,Agricultural Commodity Trading + Blockchain + Transparency,Gurugram-based; blockchain agri-commodity trading,"Gurugram, Haryana",Tier 2,Regtech + blockchain networks
,,,,,,,
RURAL INNOVATORS & AGRITECH,139,F2DF (Kisan Ki Online Dukaan) Founder/Team,Farmer Direct-to-Consumer + Digital Marketplace,Haryana-based farmer marketplace; D2C focus,Haryana,Tier 2,D2C + farmer networks
RURAL INNOVATORS & AGRITECH,140,Harvinder Singh (Syngenta Drone Program),Drone Pilot + Technology Adoption + Youth Employment,Haryana-based; Syngenta drone training graduate; 100-pilot program,Haryana,Tier 2,Syngenta networks; Youth ag tech
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
RURAL INNOVATORS & AGRITECH,146,Haryana Chief Minister's Agricultural Policy Team,Government Agriculture Innovation Policy,Policy architects; ₹2-3 crore annual commitment to farmer innovation,Haryana,Tier 2,Government networks; Direct XLRI advantage
RURAL INNOVATORS & AGRITECH,147,Dr. Indu Sharma,Agricultural Education + Extension + Farmer Skill Development,University researcher; extension + farmer knowledge transfer,Haryana/Pan-India,Tier 2,University networks
,,,,,,,
,,,,,,,
,,,,,,,
